بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
لَّعَنَهُ اللَّٰهُ ۘ وَقَالَ لَأَتَّخِذَنَّ مِنْ عِبَادِكَ نَصِيبًا مَّفْرُوضًا || l la ʕa na hu <space> <wasl> l laa hu <space> wa qaa la <space> la ʔa t ta xi ða n na <space> mi n <space> ʕi baa di ka <space> na sˤii ban <space> m ma f ruu dˤan
وَلَأُضِلَّنَّهُمْ وَلَأُمَنِّيَنَّهُمْ وَلَآمُرَنَّهُمْ فَلَيُبَتِّكُنَّ آذَانَ الْأَنْعَامِ وَلَآمُرَنَّهُمْ فَلَيُغَيِّرُنَّ خَلْقَ اللَّٰهِ ۚ وَمَن يَتَّخِذِ الشَّيْطَانَ وَلِيًّا مِّن دُونِ اللَّٰهِ فَقَدْ خَسِرَ خُسْرَانًا مُّبِينًا || wa la ʔu dˤi l la n na hu m <space> wa la ʔu ma n ni ya n na hu m <space> wa la ʔaa mu ra n na hu m <space> fa la yu ba t ti ku n na <space> ʔaa ðaa na <space> <wasl> l ʔa n ʕaa mi <space> wa la ʔaa mu ra n na hu m <space> fa la yu ɣa y yi ru n na <space> xa l qa <space> <wasl> l laa hi <space> wa ma n <space> ya t ta xi ði <space> <wasl> ʃ ʃa y tˤaa na <space> wa li y yan <space> m mi n <space> duu ni <space> <wasl> l laa hi <space> fa qa d <space> xa si ra <space> xu s raa nan <space> m mu bii nan
يَعِدُهُمْ وَيُمَنِّيهِمْ ۖ وَمَا يَعِدُهُمُ الشَّيْطَانُ إِلَّا غُرُورًا || ya ʕi du hu m <space> wa yu ma n nii hi m <space> wa maa <space> ya ʕi du hu mu <space> <wasl> ʃ ʃa y tˤaa nu <space> ʔi l laa <space> ɣu ruu ran
أُولَـٰئِكَ مَأْوَاهُمْ جَهَنَّمُ وَلَا يَجِدُونَ عَنْهَا مَحِيصًا || ʔuu laa ʔi ka <space> ma ʔ waa hu m <space> ja ha n na mu <space> wa laa <space> ya ji duu na <space> ʕa n haa <space> ma ħii sˤan
وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ سَنُدْخِلُهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا أَبَدًا ۖ وَعْدَ اللَّٰهِ حَقًّا ۚ وَمَنْ أَصْدَقُ مِنَ اللَّٰهِ قِيلًا || wa <wasl> l la ðii na <space> ʔaa ma nuu <space> wa ʕa mi luu <space> <wasl> sˤ sˤaa li ħaa ti <space> sa nu d xi lu hu m <space> ja n naa tin <space> ta j ri yii <space> mi n <space> ta ħ ti haa <space> <wasl> l ʔa n haa ru <space> xaa li dii na <space> fii haa <space> ʔa ba dan <space> wa ʕ da <space> <wasl> l laa hi <space> ħa q qan <space> wa ma n <space> ʔa sˤ da qu <space> mi na <space> <wasl> l laa hi <space> qii lan
لَّيْسَ بِأَمَانِيِّكُمْ وَلَا أَمَانِيِّ أَهْلِ الْكِتَابِ ۗ مَن يَعْمَلْ سُوءًا يُجْزَ بِهِ وَلَا يَجِدْ لَهُ مِن دُونِ اللَّٰهِ وَلِيًّا وَلَا نَصِيرًا || l la y sa <space> bi ʔa maa ni y yi ku m <space> wa laa <space> ʔa maa ni y yi <space> ʔa h li <space> <wasl> l ki taa bi <space> ma n <space> ya ʕ ma l <space> suu ʔan <space> yu j za <space> bi hii <space> wa laa <space> ya ji d <space> la huu <space> mi n <space> duu ni <space> <wasl> l laa hi <space> wa li y yan <space> wa laa <space> na sˤii ran
وَمَن يَعْمَلْ مِنَ الصَّالِحَاتِ مِن ذَكَرٍ أَوْ أُنثَىٰ وَهُوَ مُؤْمِنٌ فَأُولَـٰئِكَ يَدْخُلُونَ الْجَنَّةَ وَلَا يُظْلَمُونَ نَقِيرًا || wa ma n <space> ya ʕ ma l <space> mi na <space> <wasl> sˤ sˤaa li ħaa ti <space> mi n <space> ða ka rin <space> ʔa w <space> ʔu n θaa <space> wa hu wa <space> mu ʔ mi nun <space> fa ʔuu laa ʔi ka <space> ya d xu luu na <space> <wasl> l ja n na Ta <space> wa laa <space> yu ðˤ la muu na <space> na qii ran
وَمَنْ أَحْسَنُ دِينًا مِّمَّنْ أَسْلَمَ وَجْهَهُ لِلَّهِ وَهُوَ مُحْسِنٌ وَاتَّبَعَ مِلَّةَ إِبْرَاهِيمَ حَنِيفًا ۗ وَاتَّخَذَ اللَّٰهُ إِبْرَاهِيمَ خَلِيلًا || wa ma n <space> ʔa ħ sa nu <space> dii nan <space> m mi m ma n <space> ʔa s la ma <space> wa j ha huu <space> li l laa hi <space> wa hu wa <space> mu ħ si nun <space> wa <wasl> t ta ba ʕa <space> mi l la Ta <space> ʔi b raa hii ma <space> ħa nii fan <space> wa <wasl> t ta xa ða <space> <wasl> l laa hu <space> ʔi b raa hii ma <space> xa lii lan
وَلِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۚ وَكَانَ اللَّٰهُ بِكُلِّ شَيْءٍ مُّحِيطًا || wa li l laa hi <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa maa <space> fii <space> <wasl> l ʔa r dˤi <space> wa kaa na <space> <wasl> l laa hu <space> bi ku l li <space> ʃa y ʔin <space> m mu ħii tˤan
وَيَسْتَفْتُونَكَ فِي النِّسَاءِ ۖ قُلِ اللَّٰهُ يُفْتِيكُمْ فِيهِنَّ وَمَا يُتْلَىٰ عَلَيْكُمْ فِي الْكِتَابِ فِي يَتَامَى النِّسَاءِ اللَّاتِي لَا تُؤْتُونَهُنَّ مَا كُتِبَ لَهُنَّ وَتَرْغَبُونَ أَن تَنكِحُوهُنَّ وَالْمُسْتَضْعَفِينَ مِنَ الْوِلْدَانِ وَأَن تَقُومُوا لِلْيَتَامَىٰ بِالْقِسْطِ ۚ وَمَا تَفْعَلُوا مِنْ خَيْرٍ فَإِنَّ اللَّٰهَ كَانَ بِهِ عَلِيمًا || wa ya s ta f tuu na ka <space> fii <space> <wasl> n ni saa ʔi <space> qu li <space> <wasl> l laa hu <space> yu f ti yii ku m <space> fii hi n na <space> wa maa <space> yu t laa <space> ʕa la y ku m <space> fii <space> <wasl> l ki taa bi <space> fii <space> ya taa maa <space> <wasl> n ni saa ʔi <space> <wasl> l laa tii <space> laa <space> tu ʔ tuu na hu n na <space> maa <space> ku ti ba <space> la hu n na <space> wa ta r ɣa buu na <space> ʔa n <space> ta n ki ħuu hu n na <space> wa <wasl> l mu s ta dˤ ʕa fii na <space> mi na <space> <wasl> l wi <wasl> l daa ni <space> wa ʔa n <space> ta quu muu <space> li <wasl> l ya taa maa <space> bi <wasl> l qi s tˤi <space> wa maa <space> ta f ʕa luu <space> mi n <space> xa y rin <space> fa ʔi n na <space> <wasl> l laa ha <space> kaa na <space> bi hii <space> ʕa lii man
وَإِنِ امْرَأَةٌ خَافَتْ مِن بَعْلِهَا نُشُوزًا أَوْ إِعْرَاضًا فَلَا جُنَاحَ عَلَيْهِمَا أَن يُصْلِحَا بَيْنَهُمَا صُلْحًا ۚ وَالصُّلْحُ خَيْرٌ ۗ وَأُحْضِرَتِ الْأَنفُسُ الشُّحَّ ۚ وَإِن تُحْسِنُوا وَتَتَّقُوا فَإِنَّ اللَّٰهَ كَانَ بِمَا تَعْمَلُونَ خَبِيرًا || wa ʔi ni <space> <wasl> m ra ʔa Tun <space> xaa fa t <space> mi n <space> ba ʕ li haa <space> nu ʃuu zan <space> ʔa w <space> ʔi ʕ raa dˤan <space> fa laa <space> ju naa ħa <space> ʕa la y hi maa <space> ʔa n <space> yu sˤ li ħaa <space> ba y na hu maa <space> sˤu l ħan <space> wa <wasl> sˤ sˤu l ħu <space> xa y run <space> wa ʔu ħ dˤi ra ti <space> <wasl> l ʔa n fu su <space> <wasl> ʃ ʃu ħ ħa <space> wa ʔi n <space> tu ħ si nuu <space> wa ta t ta quu <space> fa ʔi n na <space> <wasl> l laa ha <space> kaa na <space> bi maa <space> ta ʕ ma luu na <space> xa bii ran
وَلَن تَسْتَطِيعُوا أَن تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَصْتُمْ ۖ فَلَا تَمِيلُوا كُلَّ الْمَيْلِ فَتَذَرُوهَا كَالْمُعَلَّقَةِ ۚ وَإِن تُصْلِحُوا وَتَتَّقُوا فَإِنَّ اللَّٰهَ كَانَ غَفُورًا رَّحِيمًا || wa la n <space> ta s ta tˤii ʕuu <space> ʔa n <space> ta ʕ di luu <space> ba y na <space> <wasl> n ni saa ʔi <space> wa la w <space> ħa ra sˤ tu m <space> fa laa <space> ta mii luu <space> ku l la <space> <wasl> l ma y li <space> fa ta ða ruu haa <space> ka <wasl> l mu ʕa l la qa Ti <space> wa ʔi n <space> tu sˤ li ħuu <space> wa ta t ta quu <space> fa ʔi n na <space> <wasl> l laa ha <space> kaa na <space> ɣa fuu ran <space> r ra ħii man
وَإِن يَتَفَرَّقَا يُغْنِ اللَّٰهُ كُلًّا مِّن سَعَتِهِ ۚ وَكَانَ اللَّٰهُ وَاسِعًا حَكِيمًا || wa ʔi n <space> ya ta fa r ra qaa <space> yu ɣ ni <space> <wasl> l laa hu <space> ku l lan <space> m mi n <space> sa ʕa ti hii <space> wa kaa na <space> <wasl> l laa hu <space> waa si ʕan <space> ħa kii man
وَلِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ وَلَقَدْ وَصَّيْنَا الَّذِينَ أُوتُوا الْكِتَابَ مِن قَبْلِكُمْ وَإِيَّاكُمْ أَنِ اتَّقُوا اللَّٰهَ ۚ وَإِن تَكْفُرُوا فَإِنَّ لِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۚ وَكَانَ اللَّٰهُ غَنِيًّا حَمِيدًا || wa li l laa hi <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa maa <space> fii <space> <wasl> l ʔa r dˤi <space> wa la qa d <space> wa sˤ sˤa y naa <space> <wasl> l la ðii na <space> ʔuu tuu <space> <wasl> l ki taa ba <space> mi n <space> qa b li ku m <space> wa ʔi y yaa ku m <space> ʔa ni <space> <wasl> t ta quu <space> <wasl> l laa ha <space> wa ʔi n <space> ta k fu ruu <space> fa ʔi n na <space> li l laa hi <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa maa <space> fii <space> <wasl> l ʔa r dˤi <space> wa kaa na <space> <wasl> l laa hu <space> ɣa ni y yan <space> ħa mii dan
وَلِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۚ وَكَفَىٰ بِاللَّٰهِ وَكِيلًا || wa li l laa hi <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa maa <space> fii <space> <wasl> l ʔa r dˤi <space> wa ka faa <space> bi <wasl> l laa hi <space> wa kii lan
إِن يَشَأْ يُذْهِبْكُمْ أَيُّهَا النَّاسُ وَيَأْتِ بِآخَرِينَ ۚ وَكَانَ اللَّٰهُ عَلَىٰ ذَٰلِكَ قَدِيرًا || ʔi n <space> ya ʃa ʔ <space> yu ð hi b ku m <space> ʔa y yu haa <space> <wasl> n naa su <space> wa ya ʔ ti <space> bi ʔaa xa rii na <space> wa kaa na <space> <wasl> l laa hu <space> ʕa laa <space> ðaa li ka <space> qa dii ran
مَّن كَانَ يُرِيدُ ثَوَابَ الدُّنْيَا فَعِندَ اللَّٰهِ ثَوَابُ الدُّنْيَا وَالْآخِرَةِ ۚ وَكَانَ اللَّٰهُ سَمِيعًا بَصِيرًا || m ma n <space> kaa na <space> yu rii du <space> θa waa ba <space> <wasl> d du n yaa <space> fa ʕi n da <space> <wasl> l laa hi <space> θa waa bu <space> <wasl> d du n yaa <space> wa <wasl> l ʔaa xi ra Ti <space> wa kaa na <space> <wasl> l laa hu <space> sa mii ʕan <space> ba sˤii ran
يَا أَيُّهَا الَّذِينَ آمَنُوا كُونُوا قَوَّامِينَ بِالْقِسْطِ شُهَدَاءَ لِلَّهِ وَلَوْ عَلَىٰ أَنفُسِكُمْ أَوِ الْوَالِدَيْنِ وَالْأَقْرَبِينَ ۚ إِن يَكُنْ غَنِيًّا أَوْ فَقِيرًا فَاللَّٰهُ أَوْلَىٰ بِهِمَا ۖ فَلَا تَتَّبِعُوا الْهَوَىٰ أَن تَعْدِلُوا ۚ وَإِن تَلْوُوا أَوْ تُعْرِضُوا فَإِنَّ اللَّٰهَ كَانَ بِمَا تَعْمَلُونَ خَبِيرًا || yaa <space> ʔa y yu haa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> kuu nuu <space> qa w waa mii na <space> bi <wasl> l qi s tˤi <space> ʃu ha daa ʔa <space> li l laa hi <space> wa la w <space> ʕa laa <space> ʔa n fu si ku m <space> ʔa wi <space> <wasl> l waa li da y ni <space> wa <wasl> l ʔa q ra bii na <space> ʔi n <space> ya ku n <space> ɣa ni y yan <space> ʔa w <space> fa qii ran <space> fa <wasl> l laa hu <space> ʔa w laa <space> bi hi maa <space> fa laa <space> ta t ta bi ʕuu <space> <wasl> l ha waa <space> ʔa n <space> ta ʕ di luu <space> wa ʔi n <space> ta l wuu <space> ʔa w <space> tu ʕ ri dˤuu <space> fa ʔi n na <space> <wasl> l laa ha <space> kaa na <space> bi maa <space> ta ʕ ma luu na <space> xa bii ran
يَا أَيُّهَا الَّذِينَ آمَنُوا آمِنُوا بِاللَّٰهِ وَرَسُولِهِ وَالْكِتَابِ الَّذِي نَزَّلَ عَلَىٰ رَسُولِهِ وَالْكِتَابِ الَّذِي أَنزَلَ مِن قَبْلُ ۚ وَمَن يَكْفُرْ بِاللَّٰهِ وَمَلَائِكَتِهِ وَكُتُبِهِ وَرُسُلِهِ وَالْيَوْمِ الْآخِرِ فَقَدْ ضَلَّ ضَلَالًا بَعِيدًا || yaa <space> ʔa y yu haa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> ʔaa mi nuu <space> bi <wasl> l laa hi <space> wa ra suu li hii <space> wa <wasl> l ki taa bi <space> <wasl> l la ðii <space> na z za la <space> ʕa laa <space> ra suu li hii <space> wa <wasl> l ki taa bi <space> <wasl> l la ðii <space> ʔa n za la <space> mi n <space> qa b lu <space> wa ma n <space> ya k fu r <space> bi <wasl> l laa hi <space> wa ma laa ʔi ka ti hii <space> wa ku tu bi hii <space> wa ru su li hii <space> wa <wasl> l ya w mi <space> <wasl> l ʔaa xi ri <space> fa qa d <space> dˤa l la <space> dˤa laa lan <space> ba ʕii dan
إِنَّ الَّذِينَ آمَنُوا ثُمَّ كَفَرُوا ثُمَّ آمَنُوا ثُمَّ كَفَرُوا ثُمَّ ازْدَادُوا كُفْرًا لَّمْ يَكُنِ اللَّٰهُ لِيَغْفِرَ لَهُمْ وَلَا لِيَهْدِيَهُمْ سَبِيلًا || ʔi n na <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> θu m ma <space> ka fa ruu <space> θu m ma <space> ʔaa ma nuu <space> θu m ma <space> ka fa ruu <space> θu m ma <space> <wasl> z daa duu <space> ku f ran <space> l la m <space> ya ku ni <space> <wasl> l laa hu <space> li ya ɣ fi ra <space> la hu m <space> wa laa <space> li ya h di ya hu m <space> sa bii lan
بَشِّرِ الْمُنَافِقِينَ بِأَنَّ لَهُمْ عَذَابًا أَلِيمًا || ba ʃ ʃi ri <space> <wasl> l mu naa fi qii na <space> bi ʔa n na <space> la hu m <space> ʕa ðaa ban <space> ʔa lii man
الَّذِينَ يَتَّخِذُونَ الْكَافِرِينَ أَوْلِيَاءَ مِن دُونِ الْمُؤْمِنِينَ ۚ أَيَبْتَغُونَ عِندَهُمُ الْعِزَّةَ فَإِنَّ الْعِزَّةَ لِلَّهِ جَمِيعًا || <wasl> l la ðii na <space> ya t ta xi ðuu na <space> <wasl> l kaa fi rii na <space> ʔa w li yaa ʔa <space> mi n <space> duu ni <space> <wasl> l mu ʔ mi nii na <space> ʔa ya b ta ɣuu na <space> ʕi n da hu mu <space> <wasl> l ʕi z za Ta <space> fa ʔi n na <space> <wasl> l ʕi z za Ta <space> li l laa hi <space> ja mii ʕan
وَقَدْ نَزَّلَ عَلَيْكُمْ فِي الْكِتَابِ أَنْ إِذَا سَمِعْتُمْ آيَاتِ اللَّٰهِ يُكْفَرُ بِهَا وَيُسْتَهْزَأُ بِهَا فَلَا تَقْعُدُوا مَعَهُمْ حَتَّىٰ يَخُوضُوا فِي حَدِيثٍ غَيْرِهِ ۚ إِنَّكُمْ إِذًا مِّثْلُهُمْ ۗ إِنَّ اللَّٰهَ جَامِعُ الْمُنَافِقِينَ وَالْكَافِرِينَ فِي جَهَنَّمَ جَمِيعًا || wa qa d <space> na z za la <space> ʕa la y ku m <space> fii <space> <wasl> l ki taa bi <space> ʔa n <space> ʔi ðaa <space> sa mi ʕ tu m <space> ʔaa yaa ti <space> <wasl> l laa hi <space> yu k fa ru <space> bi haa <space> wa yu s ta h za ʔu <space> bi haa <space> fa laa <space> ta q ʕu duu <space> ma ʕa hu m <space> ħa t taa <space> ya xuu dˤuu <space> fii <space> ħa dii θin <space> ɣa y ri hii <space> ʔi n na ku m <space> ʔi ðan <space> m mi θ lu hu m <space> ʔi n na <space> <wasl> l laa ha <space> jaa mi ʕu <space> <wasl> l mu naa fi qii na <space> wa <wasl> l kaa fi rii na <space> fii <space> ja ha n na ma <space> ja mii ʕan
الَّذِينَ يَتَرَبَّصُونَ بِكُمْ فَإِن كَانَ لَكُمْ فَتْحٌ مِّنَ اللَّٰهِ قَالُوا أَلَمْ نَكُن مَّعَكُمْ وَإِن كَانَ لِلْكَافِرِينَ نَصِيبٌ قَالُوا أَلَمْ نَسْتَحْوِذْ عَلَيْكُمْ وَنَمْنَعْكُم مِّنَ الْمُؤْمِنِينَ ۚ فَاللَّٰهُ يَحْكُمُ بَيْنَكُمْ يَوْمَ الْقِيَامَةِ ۗ وَلَن يَجْعَلَ اللَّٰهُ لِلْكَافِرِينَ عَلَى الْمُؤْمِنِينَ سَبِيلًا || <wasl> l la ðii na <space> ya ta ra b ba sˤuu na <space> bi ku m <space> fa ʔi n <space> kaa na <space> la ku m <space> fa t ħun <space> m mi na <space> <wasl> l laa hi <space> qaa luu <space> ʔa la m <space> na ku n <space> m ma ʕa ku m <space> wa ʔi n <space> kaa na <space> li <wasl> l kaa fi rii na <space> na sˤii bun <space> qaa luu <space> ʔa la m <space> na s ta ħ wi ð <space> ʕa la y ku m <space> wa na m na ʕ ku m <space> m mi na <space> <wasl> l mu ʔ mi nii na <space> fa <wasl> l laa hu <space> ya ħ ku mu <space> ba y na ku m <space> ya w ma <space> <wasl> l qi yaa ma Ti <space> wa la n <space> ya j ʕa la <space> <wasl> l laa hu <space> li <wasl> l kaa fi rii na <space> ʕa laa <space> <wasl> l mu ʔ mi nii na <space> sa bii lan
إِنَّ الْمُنَافِقِينَ يُخَادِعُونَ اللَّٰهَ وَهُوَ خَادِعُهُمْ وَإِذَا قَامُوا إِلَى الصَّلَاةِ قَامُوا كُسَالَىٰ يُرَاءُونَ النَّاسَ وَلَا يَذْكُرُونَ اللَّٰهَ إِلَّا قَلِيلًا || ʔi n na <space> <wasl> l mu naa fi qii na <space> yu xaa di ʕuu na <space> <wasl> l laa ha <space> wa hu wa <space> xaa di ʕu hu m <space> wa ʔi ðaa <space> qaa muu <space> ʔi laa <space> <wasl> sˤ sˤa laa Ti <space> qaa muu <space> ku saa laa <space> yu raa ʔuu na <space> <wasl> n naa sa <space> wa laa <space> ya ð ku ruu na <space> <wasl> l laa ha <space> ʔi l laa <space> qa lii lan
مُّذَبْذَبِينَ بَيْنَ ذَٰلِكَ لَا إِلَىٰ هَـٰؤُلَاءِ وَلَا إِلَىٰ هَـٰؤُلَاءِ ۚ وَمَن يُضْلِلِ اللَّٰهُ فَلَن تَجِدَ لَهُ سَبِيلًا || m mu ða b ða bii na <space> ba y na <space> ðaa li ka <space> laa <space> ʔi laa <space> haa ʔu laa ʔi <space> wa laa <space> ʔi laa <space> haa ʔu laa ʔi <space> wa ma n <space> yu dˤ li li <space> <wasl> l laa hu <space> fa la n <space> ta ji da <space> la huu <space> sa bii lan
يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَتَّخِذُوا الْكَافِرِينَ أَوْلِيَاءَ مِن دُونِ الْمُؤْمِنِينَ ۚ أَتُرِيدُونَ أَن تَجْعَلُوا لِلَّهِ عَلَيْكُمْ سُلْطَانًا مُّبِينًا || yaa <space> ʔa y yu haa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> laa <space> ta t ta xi ðuu <space> <wasl> l kaa fi rii na <space> ʔa w li yaa ʔa <space> mi n <space> duu ni <space> <wasl> l mu ʔ mi nii na <space> ʔa tu rii duu na <space> ʔa n <space> ta j ʕa luu <space> li l laa hi <space> ʕa la y ku m <space> su l tˤaa nan <space> m mu bii nan
إِنَّ الْمُنَافِقِينَ فِي الدَّرْكِ الْأَسْفَلِ مِنَ النَّارِ وَلَن تَجِدَ لَهُمْ نَصِيرًا || ʔi n na <space> <wasl> l mu naa fi qii na <space> fii <space> <wasl> d da r ki <space> <wasl> l ʔa s fa li <space> mi na <space> <wasl> n naa ri <space> wa la n <space> ta ji da <space> la hu m <space> na sˤii ran
إِلَّا الَّذِينَ تَابُوا وَأَصْلَحُوا وَاعْتَصَمُوا بِاللَّٰهِ وَأَخْلَصُوا دِينَهُمْ لِلَّهِ فَأُولَـٰئِكَ مَعَ الْمُؤْمِنِينَ ۖ وَسَوْفَ يُؤْتِ اللَّٰهُ الْمُؤْمِنِينَ أَجْرًا عَظِيمًا || ʔi l laa <space> <wasl> l la ðii na <space> taa buu <space> wa ʔa sˤ la ħuu <space> wa <wasl> ʕ ta sˤa muu <space> bi <wasl> l laa hi <space> wa ʔa x la sˤuu <space> dii na hu m <space> li l laa hi <space> fa ʔuu laa ʔi ka <space> ma ʕa <space> <wasl> l mu ʔ mi nii na <space> wa sa w fa <space> yu ʔ ti <space> <wasl> l laa hu <space> <wasl> l mu ʔ mi nii na <space> ʔa j ran <space> ʕa ðˤii man
مَّا يَفْعَلُ اللَّٰهُ بِعَذَابِكُمْ إِن شَكَرْتُمْ وَآمَنتُمْ ۚ وَكَانَ اللَّٰهُ شَاكِرًا عَلِيمًا || m maa <space> ya f ʕa lu <space> <wasl> l laa hu <space> bi ʕa ðaa bi ku m <space> ʔi n <space> ʃa ka r tu m <space> wa ʔaa ma n tu m <space> wa kaa na <space> <wasl> l laa hu <space> ʃaa ki ran <space> ʕa lii man
لَّا يُحِبُّ اللَّٰهُ الْجَهْرَ بِالسُّوءِ مِنَ الْقَوْلِ إِلَّا مَن ظُلِمَ ۚ وَكَانَ اللَّٰهُ سَمِيعًا عَلِيمًا || l laa <space> yu ħi b bu <space> <wasl> l laa hu <space> <wasl> l ja h ra <space> bi <wasl> s suu ʔi <space> mi na <space> <wasl> l qa w li <space> ʔi l laa <space> ma n <space> ðˤu li ma <space> wa kaa na <space> <wasl> l laa hu <space> sa mii ʕan <space> ʕa lii man
إِن تُبْدُوا خَيْرًا أَوْ تُخْفُوهُ أَوْ تَعْفُوا عَن سُوءٍ فَإِنَّ اللَّٰهَ كَانَ عَفُوًّا قَدِيرًا || ʔi n <space> tu b duu <space> xa y ran <space> ʔa w <space> tu x fuu hu <space> ʔa w <space> ta ʕ fuu <space> ʕa n <space> suu ʔin <space> fa ʔi n na <space> <wasl> l laa ha <space> kaa na <space> ʕa fu w wan <space> qa dii ran
إِنَّ الَّذِينَ يَكْفُرُونَ بِاللَّٰهِ وَرُسُلِهِ وَيُرِيدُونَ أَن يُفَرِّقُوا بَيْنَ اللَّٰهِ وَرُسُلِهِ وَيَقُولُونَ نُؤْمِنُ بِبَعْضٍ وَنَكْفُرُ بِبَعْضٍ وَيُرِيدُونَ أَن يَتَّخِذُوا بَيْنَ ذَٰلِكَ سَبِيلًا || ʔi n na <space> <wasl> l la ðii na <space> ya k fu ruu na <space> bi <wasl> l laa hi <space> wa ru su li hii <space> wa yu rii duu na <space> ʔa n <space> yu fa r ri quu <space> ba y na <space> <wasl> l laa hi <space> wa ru su li hii <space> wa ya quu luu na <space> nu ʔ mi nu <space> bi ba ʕ dˤin <space> wa na k fu ru <space> bi ba ʕ dˤin <space> wa yu rii duu na <space> ʔa n <space> ya t ta xi ðuu <space> ba y na <space> ðaa li ka <space> sa bii lan
أُولَـٰئِكَ هُمُ الْكَافِرُونَ حَقًّا ۚ وَأَعْتَدْنَا لِلْكَافِرِينَ عَذَابًا مُّهِينًا || ʔuu laa ʔi ka <space> hu mu <space> <wasl> l kaa fi ruu na <space> ħa q qan <space> wa ʔa ʕ ta d naa <space> li <wasl> l kaa fi rii na <space> ʕa ðaa ban <space> m mu hii nan
وَالَّذِينَ آمَنُوا بِاللَّٰهِ وَرُسُلِهِ وَلَمْ يُفَرِّقُوا بَيْنَ أَحَدٍ مِّنْهُمْ أُولَـٰئِكَ سَوْفَ يُؤْتِيهِمْ أُجُورَهُمْ ۗ وَكَانَ اللَّٰهُ غَفُورًا رَّحِيمًا || wa <wasl> l la ðii na <space> ʔaa ma nuu <space> bi <wasl> l laa hi <space> wa ru su li hii <space> wa la m <space> yu fa r ri quu <space> ba y na <space> ʔa ħa din <space> m mi n hu m <space> ʔuu laa ʔi ka <space> sa w fa <space> yu ʔ ti yii hi m <space> ʔu juu ra hu m <space> wa kaa na <space> <wasl> l laa hu <space> ɣa fuu ran <space> r ra ħii man
يَسْأَلُكَ أَهْلُ الْكِتَابِ أَن تُنَزِّلَ عَلَيْهِمْ كِتَابًا مِّنَ السَّمَاءِ ۚ فَقَدْ سَأَلُوا مُوسَىٰ أَكْبَرَ مِن ذَٰلِكَ فَقَالُوا أَرِنَا اللَّٰهَ جَهْرَةً فَأَخَذَتْهُمُ الصَّاعِقَةُ بِظُلْمِهِمْ ۚ ثُمَّ اتَّخَذُوا الْعِجْلَ مِن بَعْدِ مَا جَاءَتْهُمُ الْبَيِّنَاتُ فَعَفَوْنَا عَن ذَٰلِكَ ۚ وَآتَيْنَا مُوسَىٰ سُلْطَانًا مُّبِينًا || ya s ʔa lu ka <space> ʔa h lu <space> <wasl> l ki taa bi <space> ʔa n <space> tu na z zi la <space> ʕa la y hi m <space> ki taa ban <space> m mi na <space> <wasl> s sa maa ʔi <space> fa qa d <space> sa ʔa luu <space> muu saa <space> ʔa k ba ra <space> mi n <space> ðaa li ka <space> fa qaa luu <space> ʔa ri naa <space> <wasl> l laa ha <space> ja h ra Tan <space> fa ʔa xa ða t hu mu <space> <wasl> sˤ sˤaa ʕi qa Tu <space> bi ðˤu l mi hi m <space> θu m ma <space> <wasl> t ta xa ðuu <space> <wasl> l ʕi j la <space> mi n <space> ba ʕ di <space> maa <space> jaa ʔa t hu mu <space> <wasl> l ba y yi naa tu <space> fa ʕa fa w naa <space> ʕa n <space> ðaa li ka <space> wa ʔaa ta y naa <space> muu saa <space> su l tˤaa nan <space> m mu bii nan
وَرَفَعْنَا فَوْقَهُمُ الطُّورَ بِمِيثَاقِهِمْ وَقُلْنَا لَهُمُ ادْخُلُوا الْبَابَ سُجَّدًا وَقُلْنَا لَهُمْ لَا تَعْدُوا فِي السَّبْتِ وَأَخَذْنَا مِنْهُم مِّيثَاقًا غَلِيظًا || wa ra fa ʕ naa <space> fa w qa hu mu <space> <wasl> tˤ tˤuu ra <space> bi mii θaa qi hi m <space> wa qu l naa <space> la hu mu <space> <wasl> d xu luu <space> <wasl> l baa ba <space> su j ja dan <space> wa qu l naa <space> la hu m <space> laa <space> ta ʕ duu <space> fii <space> <wasl> s sa b ti <space> wa ʔa xa ð naa <space> mi n hu m <space> m mii θaa qan <space> ɣa lii ðˤan
